ID,Latitude,Longitude,poi,lat,long,distance
1582356,40.67078,-73.98815,Statue of Liberty,40.6891078,-74.0440954,
1586222,40.78911,-73.97396,Statue of Liberty,40.6891078,-74.0440954,
1587326,40.81128,-73.92399,Statue of Liberty,40.6891078,-74.0440954,
1588431,40.73903,-73.97975,Statue of Liberty,40.6891078,-74.0440954,
1591192,40.8179,-73.94319,Statue of Liberty,40.6891078,-74.0440954,
1591745,40.64814,-73.97304,Statue of Liberty,40.6891078,-74.0440954,
1595059,40.64205,-73.97173,Statue of Liberty,40.6891078,-74.0440954,
1596163,40.68699,-73.9635,Statue of Liberty,40.6891078,-74.0440954,
1598925,40.86717,-73.9194,Statue of Liberty,40.6891078,-74.0440954,
1604448,40.70147,-73.94378,Statue of Liberty,40.6891078,-74.0440954,
1607761,40.66933,-73.93798,Statue of Liberty,40.6891078,-74.0440954,
1617703,40.67796,-73.96458,Statue of Liberty,40.6891078,-74.0440954,
1619360,40.71285,-73.94383,Statue of Liberty,40.6891078,-74.0440954,
1624330,40.74428,-73.97809,Statue of Liberty,40.6891078,-74.0440954,
1628749,40.7195,-73.98022,Statue of Liberty,40.6891078,-74.0440954,
1630406,40.68586,-73.94837,Statue of Liberty,40.6891078,-74.0440954,
1633720,40.67858,-73.98537,Statue of Liberty,40.6891078,-74.0440954,
1634824,40.66158,-73.98954,Statue of Liberty,40.6891078,-74.0440954,
1635376,40.72457,-73.98453,Statue of Liberty,40.6891078,-74.0440954,
1635929,40.71689,-73.95706,Statue of Liberty,40.6891078,-74.0440954,
1639795,40.67211,-73.976,Statue of Liberty,40.6891078,-74.0440954,
1641452,40.71668,-73.99073,Statue of Liberty,40.6891078,-74.0440954,
